<HTML>
<BODY>
<PRE>
Cue, Mss, Assoc, Rank, Strength
CHASE, 14, MANHATTAN, 10, .02
CHEAP, 13, THRIFTY, 7, .03
CHEAP, 13, SLEAZY, 12, .02
CHEAT, 18, CAUGHT, 15, .02
CHECKBOOK, 11, SAVINGS, 12, .01
CHEEK, 16, ROSY, 8, .03
CHEEK, 16, CHUBBY, 16, .01
CHEER, 21, BOO, 15, .02
CHEER, 21, HOORAY, 16, .02
CHEER, 21, DRINKS, 18, .01
CHEER, 21, POM POM, 21, .01
CHEERFUL, 9, CHEERS, 7, .01
CHEERFUL, 9, DELIGHTFUL, 8, .01
CHEESE, 17, BURGER, 12, .02
CHEESE, 17, MUENSTER, 17, .01
CHEMICAL, 24, IMBALANCE, 10, .03
CHEMICAL, 24, LSD, 21, .01
CHEMIST, 13, PHYSICIST, 13, .02
CHEMISTRY, 16, ORGANIC, 9, .03
CHEST, 22, BOOBS, 11, .02
CHEST, 22, TORSO, 22, .01
CHEST, 22, XRAY, 23, .01
CHICK, 12, BABE, 7, .04
CHICKEN, 29, NUGGETS, 8, .03
CHICKEN, 29, CUTLET, 24, .01
CHICKEN, 29, DUMPLINGS, 26, .01
CHICKEN, 29, POTPIE, 29, .01
CHILDISH, 19, PLAYFUL, 19, .01
CHILI, 17, PEPPERS, 8, .03
CHILI, 17, CON CARNE, 14, .01
CHIME, 9, DING, 9, .01
CHINA, 18, ORIENTAL, 13, .02
CHIP, 15, MICRO, 11, .02
CHISEL, 25, CARVE, 10, .02
CHISEL, 25, SCULPT, 15, .01
CHLORINE, 7, FLUORIDE, 7, .01
CHOIR, 10, GOSPEL, 10, .02
CHOOSE, 14, CHOSE, 9, .02
CHORE, 17, HOUSEWORK, 17, .01
CHRISTMAS, 13, EVE, 9, .02
CHUCK, 20, CHARLES, 9, .02
CHUCK, 20, WOOLERY, 21, .01
CHUNK, 19, HUNK, 7, .03
CHUNK, 19, PINEAPPLE, 19, .01
CHURCH, 15, PEW, 9, .02
CINNAMON, 12, NUTMEG, 13, .01
CITY, 18, METROPOLIS, 13, .01
CITY, 18, MIAMI, 18, .01
CLAIM, 22, DECLARE, 17, .01
CLAMP, 21, C-CLAMP, 14, .01
CLAMP, 21, CLIP, 15, .01
CLAW, 15, TALON, 12, .03
CLAY, 24, PUTTY, 11, .02
CLAY, 24, GEORGIA, 20, .01
CLAY, 24, SCULPT, 25, .01
CLEAN, 13, IMMACULATE, 10, .01
CLEANING, 28, DUSTING, 11, .02
CLEANING, 28, BAKING, 15, .01
CLEAR, 20, MUDDY, 17, .01
CLEAR, 20, OPAQUE, 18, .01
CLEAR, 20, TRANSLUCENT, 20, .01
CLENCH, 12, TIGHTEN, 9, .03
CLENCH, 12, BIND, 11, .01
CLERK, 21, SALESPERSON, 12, .03
CLERK, 21, ATTENDANT, 16, .02
CLICK, 21, REMOTE, 4, .07
CLICK, 21, CLACK, 7, .03
CLICK, 21, CLAP, 16, .01
CLINIC, 13, ABORTION, 12, .01
CLOAK, 11, WIZARD, 6, .02
CLOSET, 14, HOMOSEXUAL, 15, .01
CLOTHES, 26, NAKED, 16, .02
CLOTHES, 26, GARMENT, 20, .01
CLOWN, 11, BOZO, 8, .02
CLUB, 22, MED, 6, .05
CLUE, 15, CLUELESS, 11, .01
COACH, 13, CINDERELLA, 12, .02
COAST, 22, ROLLER, 17, .02
COAT, 17, GARMENT, 13, .01
COBBLER, 12, PEDDLER, 13, .01
COBWEB, 5, DUSTY, 4, .01
COCA-COLA, 12, SPRITE, 12, .01
COCKTAIL, 13, MARGARITA, 13, .01
COCKY, 22, ASSHOLE, 11, .02
COCKY, 22, BITCH, 15, .01
COCKY, 22, SARCASTIC, 21, .01
COCKY, 22, SNOBBY, 23, .01
CODE, 20, PASSWORD, 9, .03
CODE, 20, ZIP, 13, .02
CODE, 20, DECODE, 17, .01
COKE, 9, SPRITE, 9, .02
COKE, 9, FIZZ, 10, .01
COLD, 19, SNIFFLES, 18, .01
COLESLAW, 21, POTATO SALAD, 9, .03
COLESLAW, 21, SLAW, 21, .01
COLLECT, 18, PAPERS, 16, .01
COLLECT, 18, THROW AWAY, 18, .01
COLLEGE, 15, ACADEMICS, 13, .01
COLOGNE, 8, POLO, 6, .03
COLONEL, 15, SANDERS, 8, .04
COLT, 9, 45, 4, .02
COLT, 9, BALTIMORE, 5, .02
COLT, 9, DODGE, 6, .02
COLUMN, 17, PILLAR, 9, .02
COLUMN, 17, ROME, 16, .01
COMA, 13, DYING, 12, .01
COMBINE, 13, MESH, 7, .02
COMBINE, 13, FUSION, 10, .01
COME, 13, APPROACH, 8, .01
COMEDIAN, 9, EDDIE MURPHY, 6, .03
COMEDIAN, 9, COMIC, 7, .02
COMEDIAN, 9, STAND-UP, 10, .01
COMFORTABLE, 23, LUXURIOUS, 13, .02
COMFORTABLE, 23, ENJOYABLE, 18, .01
COMMANDER, 18, FOLLOWERS, 14, .01
COMMANDER, 18, SCHWARTZKOMPF, 18, .01
COMMENT, 20, SARCASTIC, 12, .03
COMMERCIAL, 10, ADVERTISE, 4, .04
COMMITMENT, 18, DEDICATE, 6, .04
COMMITMENT, 18, DATING, 13, .01
COMMITTEE, 14, COUNCIL, 7, .03
COMMITTEE, 14, ASSEMBLY, 10, .01
COMMON, 23, BLAND, 17, .01
COMMON, 23, EVERYONE, 20, .01
COMMUNICATE, 6, CONVERSE, 5, .01
COMMUNICATION, 16, BREAKDOWN, 9, .02
COMMUNICATION, 16, GAP, 13, .01
COMMUNICATION, 16, MASS COMM, 15, .01
COMPASSION, 20, HATRED, 10, .02
COMPASSION, 20, SENSITIVITY, 11, .02
COMPASSION, 20, MERCY, 17, .01
COMPETE, 18, ATHLETICS, 12, .02
COMPETE, 18, CHAMPIONSHIP, 17, .01
COMPETE, 18, WRESTLE, 19, .01
COMPETITION, 21, TOURNAMENT, 21, .01
COMPLEX, 13, CARBOHYDRATE, 12, .01
COMPLEX, 13, INFERIORITY, 13, .01
COMPLEX, 13, INTRICATE, 14, .01
COMPLIMENT, 14, FLATTER, 9, .02
COMPLIMENT, 14, COMPLAINT, 12, .01
COMPONENT, 13, INGREDIENT, 12, .01
COMPOUND, 22, W, 15, .03
COMPOUND, 22, RUBBING, 22, .01
COMPULSION, 24, WHIM, 25, .01
COMPUTE, 14, TALLY, 14, .01
CONCEITED, 17, SELF-CENTERED, 12, .03
CONCEITED, 17, EGOTISTICAL, 13, .02
CONCEITED, 17, BIG HEAD, 14, .01
CONCERN, 15, THOUGHTFULNESS, 16, .01
CONCLUDE, 12, SUMMARIZE, 5, .02
CONCLUDE, 12, SURMISE, 13, .01
CONDEMN, 31, CONDONE, 15, .02
CONDEMN, 31, DENOUNCE, 23, .01
CONFIDENCE, 19, ARROGANCE, 10, .02
CONFIDENCE, 19, INSECURITY, 13, .02
CONFIDENCE, 19, SELF-ASSURANCE, 15, .02
CONFIDENT, 20, SELF-ASSURED, 9, .03
CONFIDENT, 20, SELF-ESTEEM, 20, .01
CONFLICT, 15, CLASH, 12, .01
CONFLICT, 15, RESOLUTION, 15, .01
CONQUER, 18, TAKE OVER, 6, .05
CONQUER, 18, OVERTHROW, 9, .03
CONQUER, 18, CAESAR, 12, .01
CONQUEST, 23, TAKEOVER, 20, .01
CONQUEST, 23, VENTURE, 22, .01
CONSCIENCE, 20, SUBCONSCIOUS, 8, .03
CONSCIENCE, 20, ID, 16, .01
CONSCIOUS, 16, KNOWING, 8, .03
CONSEQUENCE, 25, PENALTY, 9, .02
CONSEQUENCE, 25, SUFFER, 12, .02
CONSEQUENCE, 25, MISFORTUNE, 21, .01
CONSOLE, 17, CAJOLE, 13, .01
CONSTRUCT, 8, DESTRUCT, 6, .03
CONTAINER, 20, CANISTER, 15, .02
CONTAINER, 20, LEFTOVERS, 19, .01
CONTEST, 12, BENCH PRESS, 9, .01
CONTEXT, 15, WITHIN, 7, .03
CONTEXT, 15, CONTAIN, 12, .01
CONTEXT, 15, INGREDIENT, 15, .01
CONTINENT, 16, NORTH AMERICA, 10, .04
CONTINENT, 16, ANTARCTICA, 14, .02
CONTRACT, 17, BINDING, 9, .03
CONTRACT, 17, HOUSING, 11, .03
CONTRACTOR, 16, FOREMAN, 15, .01
CONTRACTOR, 16, LABORER, 16, .01
CONTROL, 23, REMOTE, 9, .03
CONTROL, 23, UNCONTROLLABLE, 24, .01
CONVENT, 6, NUNNERY, 6, .01
CONVENT, 6, SANCTUARY, 7, .01
CONVICT, 17, FELON, 14, .01
CONVINCE, 19, ASSURE, 11, .02
CONVINCE, 19, CONCEDE, 15, .01
COOKBOOK, 12, BETTY CROCKER, 8, .02
COOKBOOK, 12, MARTHA STEWART, 12, .01
COOKED, 21, STEAMED, 10, .03
COOKED, 21, EDIBLE, 16, .01
COOKING, 21, BURNING, 7, .03
COOKING, 21, CULINARY, 16, .01
COOKING, 21, FRYING, 17, .01
COOKOUT, 11, JULY 4TH, 11, .01
COOL, 12, AIR CONDITIONER, 11, .01
COP, 16, BUST, 13, .01
COPPER, 17, ZINC, 18, .01
COPY, 13, DITTO, 12, .01
CORE, 11, INNER, 10, .01
CORN, 14, MAIZE, 13, .02
CORN, 14, POPS, 14, .02
CORPORAL, 16, ADMIRAL, 9, .03
CORPORAL, 16, ARMED FORCES, 12, .01
CORPORATION, 8, INCORPORATED, 8, .01
COSTUME, 18, MASQUERADE, 14, .02
COSTUME, 18, APPAREL, 15, .01
COSTUME, 18, CHARADE, 16, .01
COTTAGE, 11, CHALET, 10, .02
COTTAGE, 11, THATCHED, 12, .02
COTTON, 19, PUFFY, 17, .01
COTTON, 19, Q-TIP, 18, .01
COTTON, 19, WRINKLED, 20, .01
COUGAR, 11, JOHN, 6, .04
COUGAR, 11, MERCURY, 8, .02
COUGH, 11, HACK, 7, .03
COUGH, 11, PHLEGM, 8, .03
COUGH, 11, SUPPRESSANT, 12, .01
COUNSEL, 19, ADVISOR, 14, .01
COUNSEL, 19, COUNSELOR, 15, .01
COUNSEL, 19, GUIDANCE, 17, .01
COUNSEL, 19, POLITICAL, 19, .01
COUNT, 8, ON ME, 9, .02
COUNTER, 17, COUNTERPART, 14, .01
COUNTER, 17, FORMICA, 17, .01
COURAGE, 18, FEARLESS, 16, .01
COURAGEOUS, 10, FEARLESS, 9, .02
COURSE, 20, DESTINATION, 14, .02
COURSE, 20, ROUTE, 20, .01
COURT, 17, PEOPLE'S, 10, .03
COURT, 17, JESTER, 17, .01
COUSIN, 11, KISSING, 11, .01
COUSIN, 11, VINNY, 12, .01
COVER, 23, UNCOVER, 24, .01
COWARD, 13, SISSY, 11, .03
COZY, 13, SNUG, 6, .03
CRAB, 21, HERMIT, 19, .01
CRACK, 15, CREVASSE, 11, .01
CRACKER, 18, RITZ, 10, .04
CRACKER, 18, GEORGIAN, 16, .01
CRACKER, 18, HICK, 17, .01
CRACKER, 18, REDNECK, 19, .01
CRAFTS, 13, SKILLS, 6, .02
CRAFTS, 13, POPSICLE STICKS, 14, .01
CRAMP, 14, PMS, 5, .07
CRAMP, 14, MENSTRUAL, 8, .02
CRASH, 16, COLLISION, 12, .01
CRASH, 16, LANDING, 15, .01
CRAVE, 11, PREGNANT, 9, .02
CRAWL, 11, CREEP, 6, .03
CREASE, 12, PLEAT, 9, .01
CREATE, 13, EVOLVE, 13, .01
CREATURE, 17, ALIEN, 11, .02
CREATURE, 17, ET., 12, .02
CREATURE, 17, ORGANISM, 16, .01
CREDIT, 9, VISA, 10, .01
CRIME, 24, COMMIT, 12, .02
CRIME, 24, FELONY, 21, .01
CRIMINAL, 18, OFFENDER, 13, .02
CRISIS, 29, MID-LIFE, 24, .01
CRISP, 23, SOGGY, 14, .03
CRITICISM, 22, COMPLAINT, 18, .01
CRITICISM, 22, SARCASTIC, 23, .01
CROCHET, 18, MALLET, 13, .02
CROCODILE, 14, VICIOUS, 15, .01
CROOK, 11, CRANNY, 11, .01
CROOKED, 23, ASKEW, 13, .01
CROOKED, 23, CON ARTIST, 16, .01
CROSS, 18, CRISSCROSS, 9, .04
CROSS, 18, TRAINING, 17, .02
CROSSING, 16, CROSS GUARD, 14, .01
CROSSING, 16, INTERSECTION, 15, .01
CROSSING, 16, X, 17, .01
CROW, 10, CAW, 8, .01
CRUDE, 13, CRASS, 9, .02
CRUEL, 12, HASTE, 9, .01
CRUEL, 12, HOSTILE, 11, .01
CRUEL, 12, INHUMANE, 12, .01
CRUISE, 11, BAHAMAS, 5, .03
CRUNCH, 24, GRANOLA, 12, .03
CRUNCH, 24, NESTLES, 13, .03
CRY, 14, BAWL, 12, .01
CRYSTAL, 15, CHANDELIER, 7, .02
CRYSTAL, 15, QUARTZ, 16, .01
CUB, 7, CHICAGO, 8, .01
CUBE, 11, RUBIX, 6, .03
CUDDLE, 18, TEDDY BEAR, 10, .04
CUE, 21, BILLIARDS, 17, .01
CUE, 21, INDICATOR, 19, .01
CUNNING, 17, CONNIVING, 8, .03
CUNNING, 17, WITTY, 11, .02
CUNNING, 17, STEALTH, 18, .01
CUPBOARD, 15, CANS, 9, .03
CUPBOARD, 15, PANTRY, 12, .02
CUPBOARD, 15, HUBBARD, 14, .01
CURB, 14, APPETITE, 11, .02
CURE, 15, THE, 15, .03
CURIOSITY, 13, INQUISITIVE, 7, .03
CURIOSITY, 13, INTRIGUE, 12, .01
CURIOSITY, 13, SEEKING, 14, .01
CURTAINS, 17, DRAWN, 13, .01
CURTAINS, 17, VERTICALS, 18, .01
CURVE, 20, SLANT, 12, .02
CUSTARD, 14, FLAN, 14, .01
CUSTOM, 17, GENERIC, 13, .01
CUSTOM, 17, USED TO, 18, .01
CUT, 21, SCRAPE, 11, .02
CUTE, 18, CUDDLY, 9, .03
CUTE, 18, GOOD-LOOKING, 17, .01
CYCLONE, 11, WHIRLWIND, 11, .02
DAILY, 18, NIGHTLY, 13, .02
DAILY, 18, REGULARLY, 16, .02
DAIRY, 13, ANNE FRANK, 10, .02
DAM, 11, HOOVER, 5, .03
DAM, 11, DIKE, 8, .01
DANDELION, 7, SUNFLOWER, 7, .02
DANGER, 23, PERIL, 17, .02
DANGEROUS, 22, UNSAFE, 11, .02
DANGEROUS, 22, FRIGHTENING, 18, .01
DARE, 18, TEMPT, 11, .02
DARE, 18, STUNT, 17, .01
DARE, 18, TO BE, 18, .01
DARING, 25, STUNT MAN, 13, .02
DARING, 25, GUTS, 15, .01
DARING, 25, DUO, 20, .01
DARING, 25, THRILL, 25, .01
DARK, 8, GLOOM, 9, .01
DART, 13, DODGE, 11, .01
DART, 13, NEEDLES, 13, .01
DART, 13, SPEAR, 14, .01
DASH, 11, SPRINT, 11, .01
DASHBOARD, 8, AIR BAG, 4, .02
DASHBOARD, 8, SPEEDOMETER, 8, .01
DATA, 13, PROCESSOR, 6, .03
DATA, 13, INPUT, 9, .02
DATE, 20, JANUARY, 17, .01
DAWN, 11, DAYBREAK, 7, .03
DEAD, 18, DECEASED, 14, .01
DEAF, 16, AUDIBLE, 12, .01
DEAF, 16, HEARING AID, 13, .01
DEATH, 15, DREAD, 13, .02
DEATH, 15, WARRANT, 16, .02
DECEIVE, 12, DISTRUST, 10, .01
DECEIVE, 12, MISLEAD, 13, .01
DECENCY, 28, MORALITY, 4, .07
DECENCY, 28, EXPOSURE, 10, .03
DECENCY, 28, ACCEPTABLE, 11, .02
DECENCY, 28, CONSIDERATE, 12, .02
DECENCY, 28, INDECENT, 13, .02
DECENCY, 28, NORMALITY, 14, .02
DECENCY, 28, MODESTY, 21, .01
DECENCY, 28, APPROPRIATE, 22, .01
DECENCY, 28, BEHAVE, 23, .01
DECENCY, 28, OBSCENE, 27, .01
DECEPTION, 18, BETRAYAL, 11, .01
DECISION, 21, INDECISIVE, 19, .01
DECLINE, 17, TURN DOWN, 13, .03
DECLINE, 17, RECLINE, 18, .01
DECOMPOSE, 20, BREAKDOWN, 10, .03
DECOMPOSE, 20, COMPOST, 11, .02
DECORATION, 20, FESTIVE, 12, .02
DECORATION, 20, STREAMERS, 19, .01
DECREASE, 10, TAKE AWAY, 10, .01
DEFENSE, 18, KARATE, 9, .03
DEFENSE, 18, MECHANISM, 10, .03
DEFINE, 17, DISTINGUISH, 13, .01
DEFINE, 17, LOOKING UP, 14, .01
DEFINE, 17, SPECIFY, 16, .01
DELICATE, 22, WOOLITE, 23, .01
DELICIOUS, 12, SCRUMPTIOUS, 6, .03
DELICIOUS, 12, EDIBLE, 11, .01
DELIGHT, 18, EXCITE, 14, .01
DELIGHT, 18, SUNDAE, 18, .01
DELIGHT, 18, THRILL, 19, .01
DELINQUENT, 18, PAST DUE, 12, .02
DELINQUENT, 18, MISGUIDED, 17, .01
DEMAND, 16, EXPECT, 10, .02
DEMAND, 16, INSIST, 12, .02
DEMOLISH, 12, DESTRUCT, 11, .01
DEMON, 10, POSSESSED, 6, .03
DEMON, 10, DEACON, 9, .01
DENIAL, 13, REFUTE, 7, .03
DENIAL, 13, DON'T, 12, .02
DENIM, 6, LEVIS, 6, .02
DENIM, 6, SUADE, 7, .02
DENSE, 16, AIRHEAD, 8, .02
DENY, 18, OFFER, 17, .01
DEODORANT, 17, ANTIPERSPIRANT, 4, .04
DEODORANT, 17, B.O., 8, .02
DEODORANT, 17, ROLL-ON, 10, .02
DEODORANT, 17, UNDERARMS, 11, .02
DEPARTMENT, 14, CATEGORY, 8, .02
DEPTH, 17, FATHOM, 14, .01
DEPTH, 17, INTENSE, 16, .01
DEPUTY, 9, MARSHAL, 10, .01
DESCENT, 14, FROM, 11, .02
DESERT, 8, BARREN, 7, .01
DESIGNER, 17, CALVIN  KLEIN, 8, .02
DESIGNER, 17, DKNY, 13, .01
DESIGNER, 17, PLANNER, 16, .01
DESPAIR, 18, ANGUISH, 9, .03
DESPAIR, 18, DESPERATE, 13, .02
DESTROY, 24, REBUILD, 8, .03
DESTROY, 24, MUTILATE, 12, .02
DESTROY, 24, DEVASTATE, 13, .02
DESTRUCTION, 19, CRUMBLE, 13, .01
DESTRUCTION, 19, ERUPTION, 16, .01
DESTRUCTION, 19, RUBBLE, 19, .01
DETACH, 17, BYE, 13, .01
DETACH, 17, DISCONNECT, 15, .01
DETERMINE, 17, NONSTOP, 17, .01
DEVELOP, 16, PROGRESS, 11, .02
DEVELOP, 16, EXPAND, 15, .01
DEVIL, 11, LUCIFER, 12, .01
DIAGRAM, 13, ILLUSTRATION, 9, .02
DIAMOND, 17, SPARKLE, 5, .02
DIAPER, 9, DEPENDS, 8, .01
DIAPER, 9, POOPY, 10, .01
DICE, 23, CRAPS, 5, .05
DICE, 23, VEGAS, 14, .02
DICE, 23, YATZEE, 15, .02
DICE, 23, ANDREW, 16, .01
DICTIONARY, 8, LEXICON, 7, .03
DICTIONARY, 8, WEBSTERS, 9, .02
DIE, 21, EXPIRE, 12, .02
DIE, 21, REBIRTH, 20, .01
DIET, 16, NUTRITION, 9, .02
DIET, 16, BINGE, 11, .01
DIET, 16, SLIMFAST, 17, .01
DIFFER, 18, OPPOSE, 8, .03
DIFFER, 18, CONTRAST, 13, .01
DIFFERENCE, 25, UNLIKE, 13, .02
DIFFERENCE, 25, CONTRAST, 16, .01
DIFFERENCE, 25, DISCREPANCY, 20, .01
DIFFERENCE, 25, DISTINCTION, 21, .01
DIFFERENCE, 25, LIKENESS, 22, .01
DIFFERENCE, 25, OPPOSITION, 24, .01
DIFFERENT, 12, STROKES, 6, .03
DIGGER, 17, PHELPS, 11, .03
DIGGER, 17, BULLDOZER, 13, .01
DIGIT, 11, DECIMAL, 6, .01
DIGIT, 11, NUMERAL, 11, .01
DIGNITY, 12, MORALITY, 8, .02
DIGNITY, 12, HUMILITY, 9, .01
DILEMMA, 10, PREDICAMENT, 10, .01
DILEMMA, 10, SOAPS, 11, .01
DIMINISH, 17, DEPLETE, 9, .03
DIMINISH, 17, BELITTLE, 12, .03
DIMINISH, 17, ERASE, 16, .01
DINER, 12, BURGERS, 8, .01
DIP, 16, COPENHAGEN, 11, .01
DIP, 16, SUBMERGE, 16, .01
DIPLOMA, 11, CERTIFICATE, 5, .05
DIRECT, 17, STRAIGHTFORWARD, 6, .03
DIRECT, 17, UP FRONT, 12, .02
DIRECTIONS, 18, LONGITUDE, 15, .01
DIRECTOR, 21, IN CHARGE, 17, .01
DIRECTOR, 21, SPIELBERG, 21, .01
DIRT, 18, UNCLEAN, 16, .02
DIRTY, 15, DANCING, 12, .01
DISALLOW, 14, PREVENT, 6, .03
DISALLOW, 14, DISCONTINUE, 10, .01
DISALLOW, 14, SALLOW, 15, .01
DISAPPEAR, 11, EVAPORATE, 7, .03
DISASTER, 23, RUINED, 20, .01
DISASTER, 23, TRAGIC, 23, .01
DISBELIEVE, 26, SKEPTIC, 8, .03
DISBELIEVE, 26, UNBELIEVABLE, 9, .03
DISBELIEVE, 26, ATHEIST, 13, .01
DISBELIEVE, 26, DISTRUST, 15, .01
DISBELIEVE, 26, INCREDIBLE, 19, .01
DISBELIEVE, 26, MISTRUST, 21, .01
DISBELIEVE, 26, NONBELIEVER, 22, .01
DISBELIEVE, 26, UNTRUSTWORTHY, 26, .01
DISCIPLINE, 23, BEHAVE, 10, .02
DISCIPLINE, 23, DISCIPLE, 12, .02
DISCIPLINE, 23, OBEDIENCE, 16, .02
DISCOMFORT, 14, HEMORRHOIDS, 7, .02
DISCOVER, 16, REVEAL, 6, .03
DISCOVER, 16, COLUMBUS, 8, .02
DISCOVER, 16, EXPLORE, 12, .01
DISCOVER, 16, IDENTIFY, 14, .01
DISCOVERY, 13, COLUMBUS, 6, .03
DISCOVERY, 13, INVENTION, 7, .03
DISCOVERY, 13, AMAZEMENT, 11, .01
DISCREET, 19, INDISCREET, 13, .01
DISCUSS, 6, CONVERSE, 4, .03
DISEASE, 12, HERPES, 11, .01
DISGRACE, 17, DISHONOR, 6, .04
DISGRACE, 17, OUTCAST, 15, .01
DISGUISE, 15, INCOGNITO, 8, .03
DISGUST, 20, ANGUISH, 11, .01
DISGUST, 20, REPULSE, 17, .01
DISGUST, 20, REVOLTING, 18, .01
DISGUSTING, 14, REVOLTING, 8, .02
DISGUSTING, 14, GROTESQUE, 10, .01
DISHES, 19, POTS, 19, .01
DISHONEST, 15, NONTRUSTWORTHY, 12, .02
DISINTEGRATE, 18, EVAPORATE, 14, .01
DISLIKE, 6, ABHOR, 5, .01
DISTINCT, 23, NOTICEABLE, 8, .02
DITCH, 14, DRAINAGE, 10, .03
DIVE, 14, PLUNGE, 12, .02
DIVE, 14, BOMBER, 13, .01
DIVER, 11, BIKINI, 12, .01
DIVIDE, 15, CONTINENTAL, 13, .01
DIVIDE, 15, RATIO, 16, .01
DIVORCE, 11, BREAK-UP, 6, .03
DIVORCE, 11, EX-WIFE, 8, .02
DIZZY, 17, AIRHEAD, 13, .01
DIZZY, 17, QUEAZY, 18, .01
DOCK, 10, WHARF, 8, .02
DOCTOR, 19, M.D., 14, .01
DOCTOR, 19, HEALER, 18, .01
DOCUMENT, 17, DECLARATION, 11, .02
DOCUMENT, 17, REM, 17, .01
DOLL, 13, BARBIE, 6, .06
DOLL, 13, PUPPET, 14, .01
DOLLAR, 9, GEORGE WASHINGTON, 9, .01
DOLPHIN, 18, MIAMI, 9, .04
DOLPHIN, 18, ENDANGERED, 12, .02
DOMAIN, 15, EMINENT, 9, .02
DOMINATE, 24, TAKEOVER, 9, .03
DOMINATE, 24, DEVASTATE, 16, .01
DOMINATE, 24, OVERBEARING, 22, .01
DONATION, 11, OFFERING, 11, .01
DONE, 9, DID, 4, .03
DONE, 9, UNFINISHED, 10, .01
DONKEY, 10, KONG, 6, .03
DONOR, 10, DO-GOODER, 7, .01
DONOR, 10, RECIPIENT, 11, .01
DOOR, 23, SLAM, 22, .01
DOORBELL, 10, DING DONG, 6, .03
DOORWAY, 19, DOORMAN, 16, .01
DOORWAY, 19, PORTAL, 20, .01
DOPE, 15, DEALER, 12, .01
DOPE, 15, NOPE, 15, .01
DORM, 16, CONFINE, 14, .01
DOUGH, 13, KNEAD, 12, .01
DOZE, 6, NOD, 6, .02
DRACULA, 15, BRAM STOKER'S, 11, .02
DRAFT, 14, DODGER, 5, .03
DRAFT, 14, BUDWEISER, 7, .02
DRAFT, 14, PRELIMINARY, 14, .01
DRAGON, 23, SLAYER, 4, .06
DRAGON, 23, BOARD GAME, 8, .03
DRAIN, 19, DRAIN O, 14, .01
DRAMA, 11, THESPIAN, 12, .01
DRAPES, 10, HANGING, 7, .02
DRAPES, 10, PRIVACY, 9, .02
DRAWING, 15, ERASE, 13, .01
DRAWING, 15, RAFFLE, 16, .01
DREAM, 10, WEAVER, 9, .02
DRESSER, 14, ARMOIRE, 11, .01
DRIFT, 20, ASHORE, 17, .01
DRINK, 20, KOOL AID, 20, .01
DRIVE, 14, WILL POWER, 9, .03
DRIVEWAY, 14, CARPORT, 9, .02
DRIVEWAY, 14, BLACK TOP, 15, .01
DROVE, 11, BEES, 8, .01
DROWN, 14, CPR, 12, .01
DRUGS, 28, PILLS, 12, .03
DRUGS, 28, NARCOTICS, 26, .01
DRUGS, 28, PHARMACY, 28, .01
DRUNK, 19, PLASTERED, 18, .01
DUCK, 16, DONALD, 9, .02
DUCK, 16, DUCKLINGS, 10, .02
DUCK, 16, WEBBED, 17, .01
DUE, 25, DEADLINE, 10, .03
DUE, 25, PAY UP, 14, .02
DUE, 25, NEEDED, 21, .01
DUE, 25, ON TIME, 22, .01
DUE, 25, OVERDUE, 23, .01
DULL, 11, DREARY, 11, .01
DUMP, 9, PICK-UP, 10, .01
DUNGEON, 16, DANK, 9, .02
DUPLICATE, 7, CLONE, 4, .03
DUSK, 9, SEMI, 7, .02
DUST, 16, PARTICLES, 6, .04
DUST, 16, BALLS, 14, .01
DUTY, 15, CALLS, 9, .03
DUTY, 15, ROSTER, 15, .01
DYNASTY, 20, DALLAS, 6, .04
DYNASTY, 20, MING, 14, .02
EAGER, 19, ENTHUSIASTIC, 11, .02
EAGER, 19, AVID, 13, .01
EAGER, 19, DETERMINED, 14, .01
EAR, 14, PIERCE, 15, .01
EARLY, 8, RISER, 5, .04
EARN, 10, DESERVE, 6, .02
EARRING, 11, PIERCED, 7, .04
EAT, 11, CONSUME, 6, .02
ECONOMIC, 21, FINANCE, 9, .02
ECONOMIC, 21, AFFORDABLE, 13, .01
ECONOMIC, 21, RECESSION, 18, .01
ECONOMIC, 21, THRIFTY, 21, .01
EDGE, 17, JAGGED, 16, .01
EDITOR, 11, IN CHIEF, 11, .01
EDITOR, 11, JOURNALISM, 12, .01
EDITORIAL, 15, COMMENTARY, 10, .02
EDUCATION, 13, HIGHER, 10, .02
EFFECT, 13, DEFECT, 9, .02
EFFORT, 18, MY, 12, .01
EGG, 20, NOG, 8, .03
EGG, 20, BEATER, 18, .01
EGGS, 21, OVA, 13, .02
EGGS, 21, SHELLS, 15, .02
EGGS, 21, CHOLESTEROL, 18, .01
ELBOW, 10, FUNNY BONE, 5, .07
ELECT, 15, APPOINT, 6, .03
ELECT, 15, NOMINATE, 12, .02
ELECT, 15, IMPEACH, 14, .01
ELECTRIC, 23, SPARK, 24, .01
ELECTRICIAN, 22, ELECTROCUTE, 9, .03
ELECTRICIAN, 22, SKILLED, 20, .01
ELECTRICIAN, 22, ZAP, 23, .01
ELECTRICITY, 15, ELECTROCUTE, 9, .02
ELECTRICITY, 15, JOLT, 14, .01
ELECTRON, 15, ION, 14, .01
ELECTRON, 15, POSITRON, 16, .01
ELEMENT, 22, ARGON, 17, .01
EMERGENCY, 23, NINEONEONE, 3, .10
EMERGENCY, 23, HOTLINE, 20, .01
EMOTIONAL, 16, MOODY, 11, .02
EMOTIONAL, 16, SENTIMENTAL, 12, .02
EMPEROR, 15, STAR WARS, 7, .03
EMPEROR, 15, CAESAR, 10, .01
EMPEROR, 15, HIROHITO, 12, .01
