TARGET, BSSQ, BSGQ, ESSQ*, ESGQ, BFQ, BFSS, BFSG, EFQ, EFSS, EFSG, TSS, TFR, TCON, TH, TPS, TMC, TPR, TRSG, TUC, TUI
CONQUER, ¥, ¥, ¥, ¥, CON----, 23, .05, , ¥, ¥, 18, 4, ¥, , V, 1.47, .27, .014, 1, .83
CONTACT, ¥, ¥, ¥, ¥, CONT---, 9, .03, , ¥, ¥, 15, 63, 4.46, T, N, 1.13, .07, .024, 1, 1.00
CONTENT, ¥, ¥, 14, 0.00, CONT---, 9, .15, , ¥, ¥, 14, 53, ¥, , N, ¥, ¥, ¥, 0, .57
CONTEST, ¥, ¥, 20, 0.00, CONT---, 9, .01, , ¥, ¥, 12, 26, ¥, , N, 1.82, .36, .007, 1, .92
CONTEXT, ¥, ¥, ¥, ¥, CONT---, 9, .01, , ¥, ¥, 15, 35, 2.73, , N, 1.00, 0.00, 0.000, 1, .80
CONTINENT, ¥, ¥, 14, 0.00, , ¥, ¥, , ¥, ¥, 16, 17, ¥, , N, 2.14, .29, .063, 1, .88
CONTRACT, ¥, ¥, 15, 0.00, , ¥, ¥, , ¥, ¥, 17, 60, 5.24, T, N, 1.80, .33, .035, 1, .88
CONTROL, ¥, ¥, ¥, ¥, CONT---, 9, .08, , ¥, ¥, 23, 223, 2.68, , V, .67, .24, .006, 1, .91
CONVERSATION, ¥, ¥, 18, 0.00, , ¥, ¥, , ¥, ¥, 8, 10, 4.63, , N, 1.75, .38, .017, 1, 1.00
CONVICT, ¥, ¥, ¥, ¥, CON----, 23, .05, , ¥, ¥, 17, 6, ¥, , N, 3.12, .19, .010, 1, .94
COOK, 4, .85, 9, .08, CO--, 20, .04, , ¥, ¥, 15, 47, 4.91, , V, 1.60, .33, .055, 1, 1.00
COOKED, ¥, ¥, ¥, ¥, COO---, 6, .02, , ¥, ¥, 21, 10, ¥, , V, 2.63, .26, .013, 1, .90
COOKIE*, 4, .02, 4, .16, CO----, 29, .04, ---KIE, 4, .60, 17, 1, 6.30, , N, 2.24, .41, .030, 1, 1.00
COOKING, 4, 0.00, 25, 0.00, COOK---, 5, .73, ---KING, 24, .02, 21, 32, ¥, , V, 1.11, .11, .004, 1, .86
COOL, ¥, ¥, 10, .06, CO--, 20, .14, -OOL, 6, .60, 12, 62, 3.60, , AJ, 2.64, .64, .026, 1, .92
COOLER, ¥, ¥, ¥, ¥, CO----, 29, .18, ----ER, 37, .23, 10, 12, 5.15, , N, 1.50, .20, .005, 1, 1.00
COP, ¥, ¥, 15, .04, C--, 14, .06, -OP, 6, .13, 16, 15, 6.36, , N, 2.33, .47, .126, 1, .94
COPPER, ¥, ¥, ¥, ¥, CO----, 29, .03, ----ER, 37, .01, 17, 13, 4.98, , N, 2.56, .25, .019, 1, .94
COPY, ¥, ¥, 33, 0.00, , ¥, ¥, , ¥, ¥, 13, 38, ¥, T, N, 1.00, .42, .121, 1, .92
CORD, ¥, ¥, 15, .07, , ¥, ¥, , ¥, ¥, 13, 6, 6.93, N, N, 1.31, .39, .029, 1, 1.00
CORE, ¥, ¥, 28, .07, , ¥, ¥, , ¥, ¥, 11, 37, 4.67, , N, .40, .10, .006, 1, .91
CORK, ¥, ¥, 9, .31, CO--, 20, 0.00, -ORK, 5, .21, 7, 9, 5.95, , N, .71, .29, .007, 1, 1.00
CORN, ¥, ¥, 12, .09, CO--, 20, .01, --RN, 9, .05, 14, 34, 5.51, N, N, .75, .42, .376, 1, .86
CORNER, ¥, ¥, ¥, ¥, , ¥, ¥, ---NER, 12, .23, 22, 134, 6.13, , N, 1.91, .27, .014, 1, 1.00
CORPORATION, ¥, ¥, 18, 0.00, , ¥, ¥, , ¥, ¥, 8, 90, ¥, , N, 2.00, .29, .031, 1, .88
COST, ¥, ¥, 7, .12, CO--, 20, .03, , ¥, ¥, 13, 229, 3.33, , N, 2.54, .31, .055, 1, 1.00
COTTAGE, ¥, ¥, ¥, ¥, , ¥, ¥, ----AGE, 25, 0.00, 11, 19, 5.93, , N, 1.33, .22, .001, 1, .82
COTTON*, ¥, ¥, ¥, ¥, CO----, 29, 0.00, , ¥, ¥, 19, 38, 6.28, , N, .81, .44, .038, 1, .84
COUCH, ¥, ¥, ¥, ¥, C---H, 8, .19, -OUCH, 3, .55, 12, 12, 5.74, , N, 3.00, .33, .133, 1, 1.00
COUGAR, ¥, ¥, ¥, ¥, CO----, 29, .01, ---GAR, 5, .07, 11, 0, 6.63, , N, 2.44, .11, .001, 1, .82
COUGH, ¥, ¥, 6, .41, C---H, 8, .13, -OUGH, 4, .32, 11, 7, 5.35, , V, 1.12, .50, .097, 1, .73
COUNTY, ¥, ¥, ¥, ¥, COU---, 9, .02, , ¥, ¥, 18, 155, ¥, , N, ¥, ¥, ¥, 0, .67
COUPLE, 10, .01, ¥, ¥, COU---, 9, .33, , ¥, ¥, 12, 122, ¥, , N, 1.75, .58, .035, 1, 1.00
COURAGE, ¥, ¥, ¥, ¥, , ¥, ¥, ----AGE, 25, .02, 18, 32, 2.51, , N, 2.47, .35, .079, 1, .94
COURSE, ¥, ¥, 7, .05, COU---, 6, .01, , ¥, ¥, 20, 465, 3.85, T, N, 2.00, .06, .006, 1, .90
COURT, ¥, ¥, 19, .06, , ¥, ¥, , ¥, ¥, 17, 230, 5.05, N, N, 1.40, .60, .128, 1, .88
COUSIN, ¥, ¥, ¥, ¥, COU---, 6, .19, , ¥, ¥, 11, 51, ¥, , N, 2.78, .44, .024, 1, .82
COVER, ¥, ¥, ¥, ¥, , ¥, ¥, --VER, 14, .20, 23, 88, ¥, G, V, .82, .36, .062, 1, .96
COW, ¥, ¥, 11, .12, C--, 14, .10, -OW, 11, .47, 10, 29, 6.12, , N, 1.50, .90, .420, 1, 1.00
COYOTE, ¥, ¥, 33, 0.00, CO----, 27, .03, , ¥, ¥, 10, 1, ¥, , N, ¥, ¥, ¥, 0, .70
COZY, 19, .02, 33, 0.00, , ¥, ¥, , ¥, ¥, 13, 1, ¥, , AJ, 1.75, .33, .027, 1, .92
CRAB, 7, .13, 18, .03, , ¥, ¥, , ¥, ¥, 21, 2, 5.92, N, N, 1.90, .20, .031, 1, .95
CRACK, 7, .34, 25, .03, CRA--, 12, .12, --ACK, 8, .05, 15, 21, 5.05, , V, 1.00, .43, .041, 1, .93
CRACKER*, 7, .04, 13, .08, , ¥, ¥, , ¥, ¥, 18, 4, 6.32, , N, 1.14, .36, .115, 1, .78
CRACKERS, 7, 0.00, ¥, ¥, , ¥, ¥, , ¥, ¥, 15, 4, ¥, , N, ¥, ¥, ¥, 0, .80
CRADLE*, 9, .03, 2, .28, , ¥, ¥, , ¥, ¥, 5, 7, 6.94, G, N, 1.00, .20, 0.000, 1, 1.00
CRAFT, 7, .31, 10, .07, CRA--, 12, .01, --AFT, 4, .23, 19, 23, ¥, T, N, 1.16, .16, .007, 1, 1.00
CRAFTS, 7, .31, ¥, ¥, , ¥, ¥, , ¥, ¥, 13, 3, ¥, , N, 1.09, .09, 0.000, 1, .85
CRAMP, ¥, ¥, 12, .03, CRA--, 12, .05, , ¥, ¥, 14, 2, ¥, , N, 1.17, 0.00, 0.000, 1, .86
CRANE, 9, .02, 38, 0.00, CRA--, 12, .10, , ¥, ¥, 11, 5, ¥, W, N, 1.00, 0.00, 0.000, 1, 1.00
CRASH, 7, .14, 18, .02, CRA--, 12, .02, , ¥, ¥, 16, 20, 4.28, , V, 1.29, .36, .044, 1, .88
CRATER*, 9, .02, 16, 0.00, , ¥, ¥, , ¥, ¥, 10, 2, 5.55, , N, .60, .10, .001, 1, 1.00
CRAVE, 9, .16, 16, .01, CRA--, 12, .08, , ¥, ¥, 11, 5, ¥, , V, 2.10, .10, .007, 1, .91
CRAWL, ¥, ¥, 15, .01, CRA--, 12, .11, , ¥, ¥, 11, 11, 3.93, , V, 1.20, .30, .005, 1, .91
CRAYON, 9, .36, ¥, ¥, , ¥, ¥, , ¥, ¥, 12, 1, 6.12, , N, 2.67, .33, .054, 1, 1.00
CRAZY*, 9, .04, 4, .08, CRA--, 12, .34, , ¥, ¥, 16, 34, 2.20, , AJ, ¥, ¥, ¥, 0, .62
CREAM, 10, .14, 17, .02, CRE--, 9, .24, , ¥, ¥, 14, 20, 6.08, , N, 1.00, .50, .062, 1, 1.00
CREASE, 10, .02, 11, .06, , ¥, ¥, , ¥, ¥, 12, 1, ¥, , N, 1.27, .27, .046, 1, .92
CREATE, 10, .09, 25, 0.00, , ¥, ¥, , ¥, ¥, 13, 54, ¥, , V, 1.42, .58, .061, 1, .92
CREATIVE, 10, 0.00, ¥, ¥, , ¥, ¥, , ¥, ¥, 18, 49, ¥, , AJ, ¥, ¥, ¥, 0, .78
CREATOR*, ¥, ¥, 16, .01, , ¥, ¥, , ¥, ¥, 8, 14, 3.97, , N, ¥, ¥, ¥, 0, .88
CREATURE*, ¥, ¥, 6, .07, , ¥, ¥, , ¥, ¥, 17, 15, ¥, , N, 1.14, .14, .011, 1, .82
CREDIT, 8, .07, ¥, ¥, , ¥, ¥, , ¥, ¥, 9, 64, ¥, , N, .50, .38, .003, 1, .89
CREEK, 10, .04, 20, .01, CRE--, 9, .15, --EEK, 4, .10, 13, 14, 5.95, , N, 2.69, .15, .006, 1, 1.00
CREST, 8, .14, 20, .01, CRE--, 9, .08, , ¥, ¥, 12, 12, ¥, T, N, .92, .08, .030, 1, 1.00
CREW, ¥, ¥, 30, .01, , ¥, ¥, , ¥, ¥, 21, 36, ¥, , N, ¥, ¥, ¥, 0, .76
CRIB, 11, .38, 11, .08, , ¥, ¥, , ¥, ¥, 4, 5, 6.45, , N, 0.00, .25, .027, 1, 1.00
CRICKET, 11, .11, ¥, ¥, , ¥, ¥, , ¥, ¥, 14, 3, ¥, T, N, .79, .07, .002, 1, 1.00
CRIME, ¥, ¥, 12, .02, , ¥, ¥, , ¥, ¥, 24, 34, 3.81, , N, 2.59, .59, .030, 1, .92
CRISP, 11, .04, 3, .06, , ¥, ¥, , ¥, ¥, 23, 8, 3.42, , AJ, 1.32, .18, .013, 1, .96
CRITICAL, 11, .02, ¥, ¥, , ¥, ¥, , ¥, ¥, 21, 58, ¥, , AJ, ¥, ¥, ¥, 0, .81
CRITICIZE, 11, 0.00, 31, 0.00, , ¥, ¥, , ¥, ¥, 25, 4, ¥, , V, ¥, ¥, ¥, 0, .88
CROAK, ¥, ¥, 16, .06, , ¥, ¥, , ¥, ¥, 6, 1, 3.91, , V, .67, .17, .024, 1, 1.00
CROPS, ¥, ¥, 15, 0.00, , ¥, ¥, , ¥, ¥, 13, 18, 5.87, , N, 2.77, .31, .013, 1, 1.00
CROSS, ¥, ¥, 10, .01, , ¥, ¥, , ¥, ¥, 18, 55, 5.10, G, N, 2.00, .56, .012, 1, .89
CROW, ¥, ¥, 35, .01, , ¥, ¥, --OW, 12, .18, 10, 2, 5.33, , N, .78, .22, .005, 1, .90
CROWD, 4, .56, 7, .01, C---D, 6, .03, , ¥, ¥, 15, 53, 5.34, , N, 1.93, .60, .104, 1, 1.00
CROWN, 4, .09, 9, .02, , ¥, ¥, , ¥, ¥, 8, 19, 5.82, , N, 1.38, .50, .011, 1, 1.00
CRUDE, ¥, ¥, 16, .03, , ¥, ¥, , ¥, ¥, 13, 15, ¥, , AJ, 2.08, .08, .009, 1, .92
CRUEL*, ¥, ¥, 10, 0.00, CRU--, 7, .15, , ¥, ¥, 12, 15, 3.63, , AJ, 1.44, .44, .021, 1, .75
CRUISE, ¥, ¥, 11, .02, , ¥, ¥, , ¥, ¥, 11, 2, 5.23, , V, 1.70, .10, .007, 1, .91
CRUMB, 9, .11, 18, .02, CRU--, 7, .12, --UMB, 3, .18, 12, 3, 5.37, , N, 1.83, .08, .007, 1, 1.00
CRUNCH, 9, .03, 8, .10, , ¥, ¥, , ¥, ¥, 24, 2, 3.72, , V, 1.86, .09, .008, 1, .92
CRUNCHY, 9, .03, ¥, ¥, , ¥, ¥, , ¥, ¥, 16, 0, 4.66, , AJ, ¥, ¥, ¥, 0, .81
CRUSH, 9, .12, 11, .01, CRU--, 7, .34, --USH, 7, .08, 20, 4, ¥, , V, ¥, ¥, ¥, 0, .70
CRUST, 9, .06, 14, .02, CRU--, 7, .01, , ¥, ¥, 7, 1, ¥, N, N, .29, .29, .009, 1, 1.00
CRUTCH, 9, .09, 7, .09, , ¥, ¥, , ¥, ¥, 21, 1, 5.70, , N, ¥, ¥, ¥, 0, .90
CRY, ¥, ¥, 25, .01, C--, 14, .03, -RY, 7, .44, 14, 48, 4.32, , V, 1.69, .77, .292, 1, .93
CRYSTAL, 11, 0.00, ¥, ¥, , ¥, ¥, , ¥, ¥, 15, 23, 5.83, , N, 1.62, .15, .012, 1, .87
CUB, 10, .01, 13, .04, CU-, 5, .01, -UB, 7, .08, 7, 0, 6.10, , N, .83, .50, .039, 1, .86
CUDDLE, 9, .01, ¥, ¥, , ¥, ¥, , ¥, ¥, 18, 0, 4.30, , V, 2.76, .29, .016, 1, .94
CUE, ¥, ¥, ¥, ¥, CU-, 5, .13, --E, 24, .02, 21, 0, ¥, W, N, 1.16, .05, .001, 1, .90
CUFF, 10, .18, 20, .01, , ¥, ¥, , ¥, ¥, 12, 1, ¥, T, N, ¥, ¥, ¥, 0, .83
CUP, 10, .30, 7, .48, CU-, 5, .18, , ¥, ¥, 10, 45, 5.35, , N, 2.50, .70, .259, 1, 1.00
CURE, ¥, ¥, 7, .04, , ¥, ¥, -URE, 4, .27, 15, 28, 3.54, , N, 2.71, .43, .039, 1, .93
CURSE, ¥, ¥, 11, .14, , ¥, ¥, , ¥, ¥, 16, 11, 4.02, , N, ¥, ¥, ¥, 0, .69
CURVE, ¥, ¥, 8, .39, , ¥, ¥, , ¥, ¥, 20, 45, 4.40, , N, 1.74, .32, .028, 1, .95
CUSHION, 4, .01, ¥, ¥, , ¥, ¥, , ¥, ¥, 12, 8, ¥, , N, 2.92, .50, .021, 1, 1.00
CUSS, ¥, ¥, 11, .12, , ¥, ¥, , ¥, ¥, 12, 0, ¥, , V, ¥, ¥, ¥, 0, .75
CUSTOM, ¥, ¥, ¥, ¥, , ¥, ¥, ---TOM, 2, .03, 17, 14, 2.99, G, N, 1.07, .20, .010, 1, .88
CUT, 10, .16, 15, .12, CU-, 5, .56, , ¥, ¥, 21, 192, 4.15, G, N, 1.35, .60, .072, 1, .95
CUTE, ¥, ¥, 11, 0.00, , ¥, ¥, --TE, 14, .02, 18, 5, 3.10, , AJ, 2.25, .56, .072, 1, .89
CYCLE, 14, .01, ¥, ¥, , ¥, ¥, , ¥, ¥, 17, 24, ¥, T, N, 1.18, 0.00, 0.000, 1, 1.00
DAD, 14, .34, 15, .07, D--, 18, .06, -AD, 8, .09, 5, 15, 6.13, , N, .20, .60, .550, 1, 1.00
DAGGER, 14, .07, ¥, ¥, , ¥, ¥, ---GER, 19, .01, 10, 0, 5.72, , N, 2.50, .20, .017, 1, 1.00
DAIRY*, ¥, ¥, 8, .06, , ¥, ¥, , ¥, ¥, 13, 19, ¥, , N, 1.08, .17, .007, 1, .92
DAISY*, ¥, ¥, 4, .04, , ¥, ¥, , ¥, ¥, 8, 3, 6.09, , N, 1.25, .13, .042, 1, 1.00
DAM, ¥, ¥, 21, .05, D--, 18, .03, -AM, 5, .09, 11, 5, ¥, , N, .56, .11, .042, 1, .82
DAMAGE, 14, 0.00, ¥, ¥, , ¥, ¥, , ¥, ¥, 19, 33, 4.85, , N, 2.37, .26, .006, 1, 1.00
DAMN, 14, .01, 21, .01, DA--, 18, .07, , ¥, ¥, 18, 34, 2.38, , V, ¥, ¥, ¥, 0, .78
DAMP, ¥, ¥, 12, .06, DA--, 6, .02, -AMP, 6, .02, 19, 16, 4.00, , AJ, 2.37, .32, .022, 1, 1.00
DANCE, 14, .02, 10, .08, , ¥, ¥, -ANCE, 2, .64, 19, 90, 4.98, , V, 1.47, .58, .055, 1, 1.00
DANCER*, ¥, ¥, 5, .21, , ¥, ¥, , ¥, ¥, 23, 31, 5.54, , N, ¥, ¥, ¥, 0, .74
DANGER*, ¥, ¥, 4, .74, , ¥, ¥, ---GER, 19, .09, 23, 70, 3.68, , N, 1.18, .41, .029, 1, .96
DARE, ¥, ¥, 25, .02, DA--, 18, .02, , ¥, ¥, 18, 21, 2.87, , V, .40, .13, .003, 1, .83
DARK, ¥, ¥, 12, .06, DA--, 18, .07, -ARK, 7, .17, 8, 185, 4.68, G, AJ, .29, .71, .216, 1, .88
DART, ¥, ¥, 12, .10, DA--, 18, .02, , ¥, ¥, 13, 0, ¥, W, N, 1.20, 0.00, 0.000, 1, .77
DASH, 14, .05, 18, .04, DA--, 18, .02, , ¥, ¥, 11, 11, ¥, N, V, 1.60, .10, 0.000, 1, .91
DATA, 14, 0.00, ¥, ¥, DA--, 18, .04, , ¥, ¥, 13, 173, ¥, , N, .55, .27, .043, 1, .85
DATE, ¥, ¥, 25, .02, DA--, 18, .25, -ATE, 7, .07, 20, 103, 5.38, N, N, 1.11, .16, .021, 1, .95
DAUGHTER, 7, .01, ¥, ¥, , ¥, ¥, , ¥, ¥, 13, 72, 6.25, , N, 2.69, .15, .268, 1, 1.00
DAWN, 7, .08, 8, .05, DA--, 18, .09, -AWN, 5, .49, 11, 28, 4.98, , N, 2.30, .40, .282, 1, .91
DAY, ¥, ¥, 26, .06, D--, 18, .08, --Y, 24, .05, 6, 686, 4.67, , N, .67, .67, .574, 1, 1.00
DAYS, ¥, ¥, 20, .05, DA--, 18, .18, , ¥, ¥, 12, 15, ¥, , N, ¥, ¥, ¥, 0, .67
DEAD, 5, 0.00, 20, .01, DE--, 11, .21, -EAD, 6, .18, 18, 174, 4.25, , AJ, 1.41, .47, .240, 1, .94
DEAF, 5, .08, ¥, ¥, , ¥, ¥, , ¥, ¥, 16, 12, 4.29, , AJ, 1.86, .36, .062, 1, .88
DEAL, 20, .03, 17, .01, DE--, 11, .22, -E-L, 16, .01, 19, 142, 3.21, G, V, ¥, ¥, ¥, 0, .79
DEATH, 5, .81, ¥, ¥, , ¥, ¥, , ¥, ¥, 15, 277, 3.86, , N, 1.85, .69, .170, 1, .87
DEBT, ¥, ¥, 19, 0.00, DE--, 11, .02, -E-T, 24, .01, 9, 13, 4.12, , N, 2.11, .22, .076, 1, 1.00
DECADE, 5, 0.00, 23, 0.00, , ¥, ¥, , ¥, ¥, 7, 46, 3.35, , N, 1.14, .29, .025, 1, 1.00
DECAY, 20, 0.00, ¥, ¥, , ¥, ¥, , ¥, ¥, 8, 14, 3.66, , V, 2.38, .63, .132, 1, 1.00
DECEPTION, 20, 0.00, ¥, ¥, , ¥, ¥, , ¥, ¥, 18, 1, ¥, , N, 1.88, .18, .005, 1, .94
DECK, 5, .04, 14, .10, DE--, 11, .01, -E-K, 16, .01, 15, 23, 5.38, N, N, 1.07, .13, .009, 1, 1.00
DECLINE, ¥, ¥, 21, .01, , ¥, ¥, , ¥, ¥, 17, 31, ¥, , V, 2.33, .07, .002, 1, .88
DEEP, 20, .18, 14, .01, DE--, 11, .08, , ¥, ¥, 13, 109, 3.96, T, AJ, 1.85, .31, .128, 1, 1.00
DEER, 20, .01, 22, .01, DE--, 11, .09, -EER, 5, .31, 18, 13, 3.96, , N, ¥, ¥, ¥, 0, .78
DEFEAT, ¥, ¥, 17, 0.00, , ¥, ¥, , ¥, ¥, 9, 31, 3.54, , V, 2.22, .44, .019, 1, 1.00
DEFEND, 20, 0.00, 17, .01, , ¥, ¥, , ¥, ¥, 17, 21, 3.40, , V, 1.29, .18, .020, 1, 1.00
DEFENSE, 20, .01, 20, 0.00, , ¥, ¥, ---ENSE, 5, .57, 18, 167, ¥, , N, 1.69, .06, .190, 1, .89
DEFINE, 20, 0.00, 21, 0.00, , ¥, ¥, , ¥, ¥, 17, 27, ¥, , V, 2.07, .07, .002, 1, .82
DEFROST, 20, .01, ¥, ¥, , ¥, ¥, , ¥, ¥, 18, 1, 4.08, , V, 2.78, .17, .019, 1, 1.00
DEGREE, 20, 0.00, 33, 0.00, , ¥, ¥, , ¥, ¥, 17, 125, ¥, G, N, ¥, ¥, ¥, 0, .82
DELAY, ¥, ¥, 26, .01, , ¥, ¥, , ¥, ¥, 23, 21, ¥, , V, ¥, ¥, ¥, 0, .78
DELICIOUS*, 20, .03, 7, .14, , ¥, ¥, , ¥, ¥, 12, 4, ¥, , AJ, 2.60, .20, .024, 1, .83
DELIVER*, 20, .02, ¥, ¥, , ¥, ¥, , ¥, ¥, 19, 18, 3.84, , V, 2.16, .26, .013, 1, 1.00
DEMAND, 20, .03, ¥, ¥, , ¥, ¥, , ¥, ¥, 16, 102, 3.00, , V, 1.00, .29, .072, 1, .88
DEMON, 20, .01, ¥, ¥, , ¥, ¥, , ¥, ¥, 10, 9, 2.56, , N, 1.75, .13, .022, 1, .80
DENSE, ¥, ¥, 20, .02, , ¥, ¥, -ENSE, 3, .22, 16, 9, 3.49, , AJ, 1.00, .13, .003, 1, .94
DENT, ¥, ¥, 14, .02, , ¥, ¥, , ¥, ¥, 18, 2, ¥, , N, ¥, ¥, ¥, 0, .83
DEPTH, 5, .01, ¥, ¥, , ¥, ¥, , ¥, ¥, 17, 53, ¥, , N, 2.67, .27, .008, 1, .88
DESERT, 5, 0.00, ¥, ¥, , ¥, ¥, , ¥, ¥, 8, 21, 5.90, N, N, .86, .43, .013, 1, .88
DESIGN, 20, 0.00, ¥, ¥, , ¥, ¥, , ¥, ¥, 17, 114, 4.13, , V, 1.82, .35, .008, 1, 1.00
DESIRE, 20, 0.00, 11, .02, , ¥, ¥, , ¥, ¥, 9, 79, 2.69, , V, 1.44, .67, .177, 1, 1.00
DESK, 5, .01, ¥, ¥, , ¥, ¥, --SK, 8, .12, 18, 65, 5.79, , N, 3.17, .33, .013, 1, 1.00
DESTRUCTION, 15, 0.00, ¥, ¥, , ¥, ¥, , ¥, ¥, 19, 38, 3.61, , N, 2.62, .31, .006, 1, .84
DETERMINE*, 20, .01, 3, .01, , ¥, ¥, , ¥, ¥, 17, 107, ¥, , V, 1.31, .25, .005, 1, .94
DEVELOP, 20, .01, ¥, ¥, , ¥, ¥, , ¥, ¥, 16, 322, ¥, , V, 1.50, .07, .001, 1, .88
DEVIL*, 5, 0.00, 4, .12, , ¥, ¥, , ¥, ¥, 11, 25, 2.13, , N, 1.70, .60, .146, 1, .91
DEW, ¥, ¥, 30, 0.00, , ¥, ¥, -EW, 8, .15, 13, 3, 5.25, , N, 1.62, .39, .008, 1, 1.00
DIAGRAM, ¥, ¥, ¥, ¥, DIA----, 7, .21, , ¥, ¥, 13, 10, ¥, , N, 1.42, .08, .006, 1, .92
DIAL*, ¥, ¥, 3, .04, DI--, 13, .03, , ¥, ¥, 12, 1, 5.33, G, N, 1.08, .25, .015, 1, 1.00
DIAMOND, ¥, ¥, ¥, ¥, DIA----, 7, .35, ---MOND, 2, .22, 17, 8, 6.21, N, N, 3.06, .63, .071, 1, .94
DIAPER, ¥, ¥, ¥, ¥, , ¥, ¥, ---PER, 13, .03, 9, 3, 6.30, , N, .29, .29, .013, 1, .78
DIARY, ¥, ¥, ¥, ¥, DI---, 23, .02, , ¥, ¥, 14, 4, ¥, , N, ¥, ¥, ¥, 0, .79
DICE, ¥, ¥, 15, .06, DI--, 13, .24, -ICE, 5, .15, 23, 14, ¥, G, N, .84, .16, .011, 1, .83
DICTATOR, 15, 0.00, 16, 0.00, , ¥, ¥, , ¥, ¥, 18, 7, ¥, , N, ¥, ¥, ¥, 0, .72
DIE, ¥, ¥, 25, .02, D--, 18, .16, , ¥, ¥, 21, 73, 3.54, N, V, 2.79, .42, .153, 1, .90
DIET*, ¥, ¥, 4, .20, , ¥, ¥, --ET, 8, .03, 16, 21, ¥, , N, 1.62, .39, .005, 1, .81
DIFFER, 15, .01, ¥, ¥, , ¥, ¥, , ¥, ¥, 18, 18, 2.55, , V, 3.12, .13, .003, 1, .89
DIFFERENT, 15, .04, ¥, ¥, , ¥, ¥, , ¥, ¥, 12, 312, 2.75, , AJ, 3.45, 1.00, .310, 1, .92
DIFFICULT, 15, 0.00, ¥, ¥, , ¥, ¥, , ¥, ¥, 3, 161, 2.38, , AJ, 1.00, .33, .006, 1, 1.00
DIG, 15, .04, 11, .08, D--, 18, .06, -IG, 7, .15, 8, 10, 4.22, , V, 2.12, .63, .071, 1, 1.00
DIGIT, ¥, ¥, ¥, ¥, DI---, 16, .01, , ¥, ¥, 11, 1, 5.79, N, N, 1.00, .11, .003, 1, .82
DILL, ¥, ¥, 15, .01, DI--, 13, .02, _ ILL, 11, .01, 3, 12, ¥, , N, 0.00, .33, .125, 1, 1.00
DIM, 15, .04, 17, .04, D--, 18, .01, -IM, 7, .22, 6, 19, 3.93, , AJ, 1.00, .17, .014, 1, 1.00
DIME, ¥, ¥, 12, .10, DI--, 13, .07, -IME, 4, .20, 9, 4, 5.78, , N, 2.89, .56, .289, 1, 1.00
DIMINISH, 15, 0.00, ¥, ¥, , ¥, ¥, , ¥, ¥, 17, 3, 2.56, , V, 1.86, .21, .006, 1, .82
DINE, ¥, ¥, 21, .09, DI--, 13, .03, -INE, 8, .10, 6, 2, 4.36, , V, 1.50, .33, .007, 1, 1.00
DINER, ¥, ¥, ¥, ¥, DI---, 20, .14, , ¥, ¥, 12, 0, ¥, , N, 2.64, .18, .007, 1, .92
DINNER, ¥, ¥, ¥, ¥, , ¥, ¥, --NNER, 8, .19, 5, 91, 5.38, , N, 3.40, .60, .336, 1, 1.00
DIP, 15, .35, 20, .05, , ¥, ¥, -IP, 8, .09, 16, 6, ¥, T, V, .86, .21, .023, 1, .88
DIRECTION*, ¥, ¥, 21, .05, , ¥, ¥, , ¥, ¥, 24, 134, 3.19, , N, 1.58, .29, .028, 1, 1.00
DIRT, ¥, ¥, 15, .06, DI--, 13, .02, -IR-, 11, .11, 18, 43, 5.51, N, N, 1.94, .53, .255, 1, .94
DIRTY, ¥, ¥, ¥, ¥, DI---, 16, .06, , ¥, ¥, 15, 36, 4.08, , AJ, .64, .36, .239, 1, .93
DISAGREE, 15, 0.00, 33, 0.00, , ¥, ¥, , ¥, ¥, 9, 7, ¥, , V, 1.00, .33, .114, 1, 1.00
DISASTER, 15, 0.00, ¥, ¥, , ¥, ¥, , ¥, ¥, 23, 26, 4.12, , N, 2.48, .33, .044, 1, .91
DISC, 15, .01, 8, .22, DI--, 13, .09, , ¥, ¥, 16, 6, ¥, , N, ¥, ¥, ¥, 0, .75
DISCOVER, 15, 0.00, ¥, ¥, , ¥, ¥, , ¥, ¥, 16, 40, 3.25, , V, .25, .33, .042, 1, .75
DISCOVERY, 15, 0.00, 33, 0.00, , ¥, ¥, , ¥, ¥, 13, 45, 3.06, , N, .20, .10, .001, 1, .77
DISCREET, 15, 0.00, ¥, ¥, , ¥, ¥, , ¥, ¥, 19, 7, 2.60, , AJ, 1.94, .06, .001, 1, .95
DISCUSS, 15, 0.00, 11, .01, , ¥, ¥, , ¥, ¥, 6, 28, ¥, , V, 1.60, .20, .011, 1, .83
DISGUST, 15, 0.00, 14, .02, , ¥, ¥, , ¥, ¥, 20, 1, ¥, , V, 2.12, 0.00, 0.000, 1, .85
DISGUSTING, 15, 0.00, 25, 0.00, , ¥, ¥, , ¥, ¥, 14, 4, ¥, , AJ, 3.08, .50, .090, 1, .86
DISH, 15, .04, 8, .23, DI--, 13, .07, --SH, 15, .03, 15, 16, 6.77, , N, 2.20, .40, .091, 1, 1.00
DISHES, 15, 0.00, ¥, ¥, , ¥, ¥, , ¥, ¥, 19, 21, ¥, G, N, 2.22, .17, .037, 1, .95
DISLIKE, 15, 0.00, ¥, ¥, D-SL--E, 1, .22, , ¥, ¥, 6, 14, 2.75, , V, 1.20, .40, .044, 1, .83
