TARGET, K&F FREQ, Accessibility Index
MIDDLE, 118, 14
BRICK, 18, 14
STATION, 105, 14
FENCE, 30, 14
LAMP, 18, 14
ATOM, 37, 14
RARE, 41, 14
WHOLE, 309, 14
TOWN, 212, 14
ABLE, 216, 14
RETURN, 180, 14
INSIDE, 174, 14
RESEARCH, 171, 14
DIET, 21, 14
RECORD, 137, 14
RELIGIOUS, 165, 14
LOG, 11, 14
WHY, 404, 14
TOWEL, 6, 14
BEHIND, 258, 13
ANGEL, 18, 13
RAPE, 5, 13
ELEMENT, 52, 13
MAID, 31, 13
FOG, 25, 13
PERFECT, 58, 13
SECURE, 30, 13
REPEAT, 26, 13
EVEN, 1171, 13
ANCIENT, 69, 13
UNIVERSE, 71, 13
CORNER, 134, 13
HUT, 13, 13
TEMPLE, 38, 13
FABRIC, 15, 13
PENNY, 25, 13
WRECK, 8, 13
AUTO, 22, 13
LUCK, 47, 13
CAGE, 9, 13
HIGHWAY, 40, 13
ANIMALS, 58, 13
FOX, 13, 13
LOAN, 46, 13
ACHIEVE, 51, 13
CHOOSE, 50, 13
KNEE, 35, 13
LECTURE, 16, 13
BEGIN, 84, 13
NURSE, 17, 13
BLADE, 13, 13
MEANING, 127, 13
ENVIRONMENT, 42, 13
SHEEP, 23, 13
EXPLAIN, 64, 13
BACON, 10, 13
JAM, 6, 13
CAVE, 9, 13
SIDEWALK, 26, 13
FLOWERS, 57, 13
SHAVE, 6, 13
PICNIC, 15, 13
ZOO, 9, 13
MARKET, 155, 13
ACID, 13, 13
EGO, 13, 13
FEELINGS, 61, 13
LEVEL, 213, 13
CONTRACT, 60, 13
SHOVEL, 5, 13
AFTER, 1070, 13
FINAL, 156, 13
AWFUL, 17, 13
SKILL, 42, 13
SWALLOW, 10, 13
STATEMENT, 141, 13
BANANA, 4, 13
LOAD, 45, 13
FEATHER, 6, 13
AWESOME, 4, 13
MOTION, 55, 13
PRODUCT, 87, 13
HOT DOGS, 130, 13
IMAGE, 119, 13
SILLY, 15, 13
PHYSICAL, 138, 13
DUTY, 61, 13
MATURE, 31, 13
SITUATION, 196, 13
HAIRY, 5, 13
PRINT, 18, 13
ALGEBRA, 2, 13
HUG, 3, 13
PAYMENT, 53, 13
PATH, 44, 13
LOVER, 19, 13
RUB, 6, 13
ATTITUDE, 107, 13
MOOD, 37, 13
COWARD, 7, 13
FORM, 370, 13
SPRAY, 16, 13
PARKING, 31, 13
MATE, 21, 13
GENTLE, 27, 13
RUG, 13, 13
GRAVE, 33, 13
SAFETY, 48, 13
ORIGINAL, 100, 13
COMPLETE, 181, 13
EXCITEMENT, 32, 13
SPAGHETTI, 1, 13
TUB, 13, 13
PAD, 8, 13
GRACE, 40, 13
RAG, 10, 13
FORK, 14, 13
BE, 6377, 13
DEFEAT, 31, 12
STARS, 29, 12
TUBE, 31, 12
TRAIL, 31, 12
BAT, 18, 12
EXTRA, 50, 12
HONESTY, 10, 12
ABUSE, 1, 12
NOTES, 57, 12
CONVICT, 6, 12
COURAGE, 32, 12
DISHES, 21, 12
JOINT, 39, 12
HANG, 26, 12
TURKEY, 9, 12
EARTHQUAKE, 9, 12
REMEMBER, 138, 12
YARN, 14, 12
SURPRISE, 51, 12
AWARE, 84, 12
CONFUSE, 5, 12
SURF, 1, 12
TALE, 21, 12
ARROW, 14, 12
MANAGER, 88, 12
TRUMPET, 7, 12
BUBBLE, 12, 12
THANKS, 37, 12
INSURANCE, 46, 12
NECKLACE, 3, 12
ALERT, 33, 12
MANNERS, 15, 12
WHIP, 19, 12
TINY, 50, 12
HOMELESS, 0, 12
ENTRANCE, 57, 12
LACE, 7, 12
FLUTE, 1, 12
AIRPORT, 19, 12
SOUTH, 240, 12
ITEM, 54, 12
TALENT, 40, 12
CONQUER, 4, 12
NEST, 20, 12
RELIEF, 66, 12
BELOW, 145, 12
RUIN, 14, 12
STUFF, 32, 12
ARROGANT, 2, 12
MALL, 3, 12
NEGATIVE, 53, 12
SPLIT, 30, 12
STEP, 131, 12
TAX, 197, 12
ESCAPE, 65, 12
FLAVOR, 18, 12
MESSAGE, 64, 12
GREEK, 61, 12
FEVER, 19, 12
PLEASURE, 62, 12
CRAWL, 11, 12
ANXIETY, 42, 12
HOP, 2, 12
DIVORCE, 29, 12
CULTURE, 58, 12
CIRCUS, 7, 12
ENJOY, 44, 12
TEMPERATURE, 135, 12
MASS, 110, 12
HIGH SCHOOL, 5, 12
CAMP, 75, 12
WEST, 235, 12
EXIT, 7, 12
FAILURE, 89, 12
DATA, 173, 12
HOW, 834, 12
ROBBER, 2, 12
DIVE, 23, 12
POLLUTION, 6, 12
STRIKE, 50, 12
MOVEMENT, 128, 12
LAWN, 15, 12
DETERGENT, 25, 12
CLAY, 100, 12
SCENT, 6, 12
GRAY, 12, 12
BORROW, 9, 12
SNAP, 12, 12
BEAN, 5, 12
APE, 3, 12
PUPPY, 2, 12
HORROR, 17, 12
OLYMPICS, 2, 12
NOTICE, 59, 12
FLAME, 17, 12
BUSY, 58, 12
PRAY, 12, 12
KEY, 88, 12
STAIRS, 47, 12
THEORY, 129, 12
DOUBLE, 1, 12
SLIME, 0, 12
SLIDE, 20, 12
IGNORE, 19, 12
SPEND, 53, 12
FANCY, 16, 12
LETTUCE, 0, 12
STAIN, 6, 12
PORK, 10, 12
INCH, 40, 12
OBNOXIOUS, 5, 12
TONGUE, 35, 12
PLUG, 23, 12
FLAT, 67, 12
POLISH, 19, 12
TYPEWRITER, 10, 12
SEAL, 17, 12
EXACT, 27, 11
SHELTER, 70, 11
FAMOUS, 89, 11
DECIDE, 40, 11
SHAMPOO, 2, 11
EARN, 16, 11
COUCH, 12, 11
EUROPE, 118, 11
READY, 143, 11
DECAY, 14, 11
ENTER, 78, 11
REACTION, 124, 11
NAILS, 14, 11
RIP, 6, 11
ROD, 18, 11
SHEET, 45, 11
SHARK, 3, 11
NUCLEAR, 115, 11
POLITE, 7, 11
SECRETARY, 191, 11
RICE, 33, 11
SAINT, 16, 11
KNIGHT, 18, 11
REPAIR, 20, 11
RENT, 21, 11
CONFIDENCE, 56, 11
FILE, 81, 11
CORD, 6, 11
DOVE, 4, 11
MISS, 258, 11
CONCERN, 98, 11
PEANUT, 6, 11
PEAK, 16, 11
DISTANCE, 108, 11
DESSERT, 7, 11
LOYAL, 18, 11
CONCLUSION, 59, 11
EMBARRASS, 8, 11
OUTGOING, 8, 11
PEACEFUL, 26, 11
ESSAY, 19, 11
DON'T, 0, 11
LIGHTNING, 14, 11
LIVING, 194, 11
POUND, 28, 11
POVERTY, 20, 11
FREEZE, 6, 11
JEWEL, 1, 11
NERD, 0, 11
MEET, 148, 11
PANCAKES, 0, 11
DEAL, 142, 11
SHADE, 28, 11
POWERFUL, 63, 11
COCAINE, 1, 11
POKER, 6, 11
CRITICIZE, 4, 11
PATIENT, 86, 11
CHERRY, 6, 11
LID, 19, 11
EQUAL, 90, 11
POST, 84, 11
PACK, 25, 11
SERGEANT, 25, 11
PAGE, 66, 11
OXYGEN, 43, 11
MOST, 1160, 11
DISCOVER, 40, 11
YOUTH, 82, 11
SWORD, 7, 11
SOMETHING, 450, 11
VIOLIN, 11, 11
CARROT, 1, 11
HELPFUL, 29, 11
BEING, 712, 11
USUAL, 96, 11
VAMPIRE, 1, 11
GIRLFRIEND, 1, 11
SOIL, 54, 11
GENIUS, 23, 11
SUBJECT, 161, 11
STUCK UP, 0, 11
GENEROUS, 25, 11
STUCK, 23, 11
SUCK, 5, 11
VOTE, 75, 11
SUNSHINE, 8, 11
BLANK, 14, 11
SIN, 67, 11
HEAL, 2, 11
TIP, 22, 11
TISSUE, 41, 11
UNCLEAR, 57, 11
FUNERAL, 33, 11
UNCOMFORTABLE, 13, 11
TOE, 9, 11
HOOK, 5, 11
ASPIRIN, 3, 11
GRANDMA, 13, 11
GOOSE, 4, 11
ARMS, 121, 11
ANT, 6, 11
SLAVE, 30, 11
HURRICANE, 8, 11
HIDDEN, 20, 11
TEENAGER, 2, 11
CABIN, 23, 11
BALANCE, 32, 11
THROAT, 51, 11
THIRST, 4, 11
BARN, 29, 11
BARBECUE, 13, 11
SHOUT, 9, 11
INNOCENT, 1, 11
WHISKEY, 17, 11
ACHIEVEMENT, 65, 11
BOTTOM, 88, 11
SPOUSE, 3, 11
BRASS, 19, 11
HABIT, 23, 11
STABLE, 30, 11
STAIR, 2, 11
WRENCH, 2, 11
YEAR, 660, 11
GYM, 2, 11
SPANISH, 36, 11
HARM, 25, 11
WASHER, 2, 11
AHEAD, 109, 11
SHORTS, 29, 11
BOLD, 21, 11
SQUASH, 2, 10
PLASTIC, 31, 10
THINGS, 368, 10
THREE, 610, 10
COMPLEX, 91, 10
DEFEND, 21, 10
PITCH, 22, 10
BASEMENT, 31, 10
POEM, 48, 10
ASS, 5, 10
RISK, 54, 10
BASS, 16, 10
SQUEEZE, 11, 10
RESTRICTION, 8, 10
HUMOR, 47, 10
CON, 7, 10
POCKET, 46, 10
RHYME, 3, 10
RIGHTS, 77, 10
SCORE, 66, 10
PEPPER, 13, 10
GOWN, 16, 10
COMMITMENT, 13, 10
TORNADO, 1, 10
PEACH, 3, 10
GAMBLE, 3, 10
GOSSIP, 13, 10
FATTENING, 2, 10
BROKE, 72, 10
SNEAKY, 2, 10
GOODBYE, 6, 10
FOUR, 359, 10
PILOT, 44, 10
LOOKS, 78, 10
DEODORANT, 2, 10
CALCULATOR, 1, 10
DENTIST, 12, 10
BACKPACK, 1, 10
PASTA, 0, 10
SUPERIOR, 46, 10
LEMON, 18, 10
RUSSIA, 72, 10
BOOTS, 20, 10
LEGAL, 72, 10
LADDER, 19, 10
PRINCESS, 10, 10
CRUSH, 4, 10
BUILDER, 29, 10
BRA, 0, 10
BIRTH, 66, 10
BLAME, 34, 10
SUCCEED, 15, 10
FLIGHT, 46, 10
INCREASE, 195, 10
STRAW, 18, 10
BULLY, 4, 10
WRAP, 5, 10
INSULT, 7, 10
CLUE, 15, 10
BOOM, 8, 10
CRACKER, 4, 10
BLEACH, 5, 10
BRANCH, 33, 10
BEG, 11, 10
ABNORMAL, 3, 10
HYPER, 0, 10
POSITION, 241, 10
GATHER, 20, 10
CLIFF, 11, 10
BATTERY, 18, 10
JURY, 67, 10
BEFORE, 1016, 10
METER, 18, 10
REPORT, 174, 10
WORSHIP, 36, 10
PRESS, 127, 10
IDIOT, 2, 10
LETTERS, 115, 10
FINGERS, 66, 10
SOLUTION, 59, 10
CURRENT, 104, 10
LIBRARY, 62, 10
LICK, 3, 10
CONFUSED, 0, 10
CURSE, 11, 10
TANK, 12, 10
DOLPHIN, 1, 10
CAPTURE, 17, 10
EFFORT, 145, 10
FRAME, 74, 10
MARS, 21, 10
MUG, 1, 10
DOUBT, 114, 10
NOUN, 1, 10
GRIP, 20, 10
NUN, 2, 10
SELFISH, 8, 10
EXCELLENT, 68, 10
UNIFORM, 51, 10
SEED, 41, 10
OPENING, 34, 10
FRIES, 0, 10
ADVENTURE, 14, 10
WAX, 14, 10
OFTEN, 368, 10
GREED, 3, 10
SLICK, 7, 10
ADVICE, 51, 10
AGGRESSIVE, 17, 10
MAMMAL, 1, 10
VOLCANO, 2, 10
VODKA, 0, 10
NET, 34, 10
SILENCE, 52, 10
VOMIT, 0, 10
JACK, 92, 10
MANSION, 8, 10
SIMPLE, 161, 10
WAITER, 10, 10
JET, 29, 10
FROZEN, 27, 10
DRAGON, 1, 10
GROCERIES, 2, 10
ENGINEER, 42, 10
JEWISH, 74, 10
DRAIN, 18, 10
HELLO, 10, 10
GROWTH, 155, 10
VICTORY, 61, 10
DRAMA, 43, 10
VICTIM, 27, 10
CHOP, 3, 10
DISCIPLINE, 27, 10
ACTIVE, 88, 10
SLIP, 19, 10
TRIANGLE, 4, 10
GYMNASTICS, 11, 10
SLIPPERY, 5, 10
MOSQUITO, 1, 10
DISORDER, 7, 10
FAIRY, 6, 10
EXAM, 29, 10
OWE, 10, 10
LOSS, 86, 10
SMASH, 4, 10
OWNER, 33, 10
FUEL, 17, 10
EXCHANGE, 70, 10
GUYS, 20, 10
CHALLENGE, 36, 10
ORDINARY, 72, 10
SECURITY, 91, 10
HONEY, 25, 10
FACTORY, 32, 10
BOIL, 27, 9
EARLY, 366, 9
KINDNESS, 5, 9
RAGE, 16, 9
MYTH, 35, 9
STRIPE, 4, 9
WHEN, 2331, 9
RIBBON, 12, 9
CORRUPT, 8, 9
SUBTRACT, 2, 9
LEAN, 20, 9
EXPLOSION, 15, 9
GAMES, 55, 9
AIR FORCE, 0, 9
PURPOSE, 149, 9
COMMENT, 42, 9
EXCITED, 23, 9
EVERYTHING, 185, 9
EMPLOYEE, 24, 9
COMPANION, 19, 9
WAITRESS, 2, 9
LAY, 139, 9
NARROW, 63, 9
ACTIVITY, 116, 9
QUIT, 15, 9
BLUR, 3, 9
MASTER, 72, 9
ADOLESCENT, 18, 9
ELEGANT, 14, 9
REGRET, 9, 9
LABOR, 149, 9
ADMIRE, 10, 9
REAR, 51, 9
LAMB, 7, 9
REBEL, 18, 9
INN, 9, 9
ACKNOWLEDGE, 12, 9
FOLD, 7, 9
GATE, 37, 9
WRINKLE, 2, 9
HAY, 19, 9
CONDITION, 91, 9
HAWAII, 16, 9
MOTORCYCLE, 0, 9
EASE, 42, 9
AGREEMENT, 106, 9
SPY, 9, 9
FORBID, 4, 9
WHALE, 0, 9
STRICT, 11, 9
STRETCH, 226, 9
LATER, 0, 9
RESULT, 244, 9
AEROBICS, 1, 9
COOKING, 32, 9
CONVERSATION, 10, 9
MARRY, 18, 9
RASH, 1, 9
MULTIPLY, 10, 9
BOOKS, 0, 9
MORAL, 142, 9
UNDERSTANDING, 121, 9
UNCONSCIOUS, 30, 9
PINCH, 6, 9
WOLF, 6, 9
PIRATE, 4, 9
TILE, 16, 9
OTHER, 1702, 9
GOODS, 57, 9
THUMB, 10, 9
HOURS, 175, 9
HUNGER, 17, 9
UNIT, 103, 9
DECEIVE, 1, 9
DEBATE, 32, 9
PLUS, 52, 9
ONION, 15, 9
BALLET, 45, 9
DIVIDE, 14, 9
BARGAIN, 7, 9
UNION, 182, 9
DICTATOR, 7, 9
TRADE, 143, 9
FASHION, 69, 9
PEANUT BUTTER, 0, 9
DISAGREE, 7, 9
GRAND, 48, 9
GRAIN, 27, 9
TRAP, 20, 9
TRIM, 20, 9
TRANSPORTATION, 43, 9
TOMB, 11, 9
HOG, 3, 9
TUNNEL, 10, 9
TIN, 12, 9
PERFORMANCE, 122, 9
OYSTER, 6, 9
PEAS, 24, 9
FAULT, 22, 9
TOMORROW, 63, 9
HORRIBLE, 15, 9
DOCUMENT, 13, 9
CRISP, 8, 9
PROCESS, 196, 9
PROJECT, 93, 9
NEIGHBORHOOD, 1, 9
VITAMIN, 5, 9
WORTH, 94, 9
NOISY, 6, 9
DROWN, 3, 9
CROWN, 19, 9
SWAMP, 5, 9
GUIDE, 36, 9
FIVE, 286, 9
LEAVES, 26, 9
PUDDING, 0, 9
SUM, 45, 9
SUNSET, 14, 9
PROTECT, 34, 9
CREDIT, 64, 9
CREATIVE, 49, 9
LEFT, 480, 9
GLOVE, 9, 9
TERRIBLE, 45, 9
GLORY, 21, 9
NUTS, 19, 9
OBSERVE, 25, 9
UNTRUE, 2, 9
WORKOUT, 2, 9
LUNG, 16, 9
DAYS, 15, 9
LUST, 5, 9
PREACHER, 11, 9
CURVE, 45, 9
DRACULA, 0, 9
VENUS, 11, 9
DRAWER, 8, 9
DANCER, 31, 9
DOT, 13, 9
FILL, 50, 9
ANARCHY, 7, 9
DOUGHNUT, 0, 9
SAXOPHONE, 4, 9
SNOT, 0, 9
SPILL, 1, 9
CLOUDY, 2, 9
COMBINE, 17, 9
SCUBA, 0, 9
KICK, 16, 9
SINCERE, 15, 9
COMEDY, 39, 9
ZERO, 24, 9
MEDICAL, 162, 9
SEVEN, 113, 9
CARTOON, 3, 9
ROACH, 2, 9
SCUM, 0, 9
SPEAKER, 49, 9
CHIPS, 3, 9
MENTAL, 43, 9
EVENING, 133, 9
SLIM, 20, 9
IRRITATE, 1, 9
ROBE, 6, 9
FUZZY, 7, 9
CHEF, 9, 9
CHEERLEADER, 1, 9
SOME, 1594, 9
MEMBER, 137, 9
CLERK, 34, 9
SLOPPY, 3, 9
COLLECT, 16, 9
CHAOS, 17, 9
SORORITY, 1, 9
SHOULDER, 61, 9
ROUTINE, 35, 9
SHRIMP, 2, 9
BUNNY, 1, 9
SHIT, 0, 9
FOUND, 536, 9
CEMETERY, 15, 9
CAUTION, 19, 9
ROTTEN, 2, 9
YOGURT, 0, 9
CATTLE, 97, 9
RUNNER, 1, 9
BUMP, 5, 9
CLARINET, 1, 9
BULB, 0, 9
MINOR, 58, 8
DEADLY, 19, 8
SANTA, 28, 8
SOFA, 6, 8
DEAF, 12, 8
BASE, 91, 8
FURRY, 0, 8
AUNT, 22, 8
SOCIETY, 237, 8
DAMAGE, 33, 8
DAILY, 122, 8
DAWN, 28, 8
SATURN, 3, 8
PERSUADE, 17, 8
SNEAK, 2, 8
CALENDAR, 28, 8
CALCULUS, 0, 8
THIS, 0, 8
THROUGH, 969, 8
BAKED, 8, 8
PIECES, 92, 8
THORN, 3, 8
TITLE, 77, 8
PEPSI, 0, 8
PLOT, 37, 8
CABBAGE, 4, 8
CABINET, 17, 8
ABSENT, 28, 8
BANDAID, 0, 8
AVOID, 58, 8
MEND, 2, 8
THERAPY, 12, 8
SOON, 1, 8
FIST, 26, 8
RUM, 3, 8
SUMMARY, 21, 8
WOW, 0, 8
RUSH, 20, 8
SON, 166, 8
SURGERY, 6, 8
PROMISE, 45, 8
PROPER, 95, 8
PROOF, 40, 8
SUGGESTION, 34, 8
QUARTER, 34, 8
MICROSCOPE, 8, 8
ROW, 35, 8
STRUGGLE, 62, 8
STUBBORN, 12, 8
SOUL, 47, 8
SUCKS, 0, 8
CRAB, 2, 8
PUSHY, 0, 8
PUT DOWN, 0, 8
BURGLAR, 1, 8
PRECIOUS, 29, 8
HAPPENING, 28, 8
PRECISE, 33, 8
CURIOUS, 46, 8
SAILOR, 5, 8
CUSHION, 8, 8
BENCH, 35, 8
LICENSE, 36, 8
LIBERTY, 46, 8
IDENTIFICATION, 43, 8
POWDER, 33, 8
IGNORANT, 12, 8
FIREPLACE, 6, 8
PRODUCE, 82, 8
CROOKED, 3, 8
PROFESSIONAL, 57, 8
BITTER, 53, 8
CLOSED, 106, 8
PRETEND, 8, 8
SAIL, 12, 8
GIN, 23, 8
ENVELOPE, 21, 8
CUBE, 1, 8
HEN, 22, 8
VERSE, 28, 8
MAKER, 12, 8
DOUGH, 13, 8
VALLEY, 73, 8
SEND, 74, 8
NERVE, 12, 8
VOCABULARY, 13, 8
DUMP, 4, 8
HEEL, 9, 8
DRYER, 4, 8
VIRUS, 13, 8
HIKE, 4, 8
DOE, 1, 8
LUXURY, 21, 8
CHINESE, 56, 8
UNIVERSITY, 214, 8
ACCOMPLISH, 24, 8
FRATERNITY, 6, 8
VACUUM, 20, 8
DORM, 2, 8
OBEY, 8, 8
DONKEY, 1, 8
USELESS, 17, 8
ELEVATOR, 12, 8
EXECUTIVE, 50, 8
ADDICT, 1, 8
EIGHT, 104, 8
WILDERNESS, 11, 8
MOTOR, 56, 8
WHO, 2252, 8
FRIED, 6, 8
WIDE, 125, 8
EMERGENCY, 29, 8
AD, 11, 8
MOMENT, 246, 8
NAIVE, 7, 8
EAGLE, 5, 8
EARRING, 3, 8
MIST, 14, 8
WIMP, 0, 8
NAP, 4, 8
EXPERIENCE, 276, 8
CELEBRATION, 15, 8
CHARACTER, 118, 8
SHARE, 98, 8
SIGNAL, 63, 8
MARIJUANA, 10, 8
UNFAIR, 13, 8
FARMER, 23, 8
ASTRONOMY, 24, 8
SCREEN, 48, 8
SMOG, 1, 8
CAMPING, 18, 8
ATHLETIC, 18, 8
GRAMMAR, 4, 8
MINUTE, 53, 8
ASLEEP, 27, 8
MEDAL, 7, 8
LORD, 93, 8
LOS ANGELES, 0, 8
DETECTIVE, 52, 8
PEARL, 9, 8
TOSS, 9, 8
LOCATION, 81, 8
CALORIES, 7, 8
FAUCET, 1, 8
CAMPAIGN, 94, 8
MINUS, 8, 8
DICE, 14, 8
ATTRACTIVE, 39, 8
TOYS, 11, 8
ATTACH, 14, 8
DISNEY, 0, 8
UNCERTAIN, 0, 8
ORCHESTRA, 60, 8
TWIST, 18, 8
OUTLINE, 12, 8
APPROVAL, 51, 8
OPERATION, 113, 8
OPERA, 47, 8
CAPACITY, 83, 8
LOVING, 15, 8
MISSING, 33, 8
IS, 0, 8
FAME, 18, 8
ARTICLE, 68, 8
ARREST, 19, 8
DIRECT, 129, 8
DIRECTIONS, 30, 8
SEAFOOD, 3, 8
DISGUST, 1, 8
HOE, 0, 8
HOBBY, 4, 8
AROMA, 3, 8
HOLDER, 27, 8
JOURNEY, 28, 8
BOND, 46, 8
FLOW, 67, 8
CONCEITED, 0, 8
REFUSE, 16, 8
STICKER, 0, 8
GEL, 0, 8
STINGY, 1, 8
STING, 5, 8
RODENT, 3, 8
ROAST, 10, 8
SQUIRREL, 1, 8
HANGER, 1, 8
FLUID, 21, 8
STARE, 14, 8
COLUMN, 71, 8
BOOZE, 4, 8
KINGDOM, 216, 8
RESPONSE, 77, 8
COMMUNICATION, 67, 8
CONGRESS, 152, 8
INFORM, 7, 8
RIOT, 7, 8
BREEZE, 14, 8
SPIRIT, 182, 8
STEAM, 17, 8
RAISE, 52, 8
BUCKET, 7, 8
ROOT, 30, 8
BULLET, 28, 8
REACH, 106, 8
COMPLIMENT, 3, 8
DEPTH, 53, 7
TRACTOR, 24, 7
MEASUREMENT, 34, 7
PERMIT, 77, 7
TRAGEDY, 49, 7
GORILLA, 0, 7
DICK, 0, 7
TOWER, 13, 7
CONNECT, 3, 7
TOTAL, 211, 7
SNACK, 9, 7
SCISSORS, 1, 7
ATMOSPHERE, 79, 7
TOBACCO, 19, 7
DESCRIBE, 200, 7
AUTHOR, 46, 7
STARVE, 1, 7
ARRIVE, 24, 7
CANDIDATE, 34, 7
CANE, 12, 7
KNOB, 2, 7
STANDARD, 110, 7
ASH, 11, 7
KNOCK, 15, 7
ARCHITECT, 22, 7
TURTLE, 8, 7
TUXEDO, 0, 7
GRASP, 17, 7
PACKAGE, 20, 7
SEASONING, 2, 7
SLOB, 4, 7
ROCKET, 7, 7
FANTASTIC, 20, 7
TRAY, 18, 7
DIME, 4, 7
PARTNER, 32, 7
PASSION, 28, 7
SCREW, 21, 7
ASSISTANT, 36, 7
CAN'T, 0, 7
BREAST, 11, 7
CHRIST, 97, 7
DINOSAUR, 1, 7
HOOD, 7, 7
SCULPTURE, 11, 7
PARAGRAPH, 12, 7
DEBT, 13, 7
GOAT, 6, 7
PLUTO, 0, 7
SATAN, 3, 7
BEANS, 9, 7
FLOUR, 8, 7
BAY, 57, 7
BARK, 14, 7
DECK, 23, 7
FLU, 8, 7
ERASER, 2, 7
LIMB, 5, 7
CLEANER, 9, 7
DECEPTION, 1, 7
BEARD, 26, 7
FORMAL, 48, 7
TEDDY BEAR, 0, 7
BOUNCE, 8, 7
GLOBE, 13, 7
YESTERDAY, 83, 7
TECHNOLOGY, 43, 7
PORTION, 62, 7
TEMPER, 12, 7
BECAUSE, 883, 7
FIGHTER, 9, 7
POPULAR, 98, 7
PORCH, 43, 7
ERASE, 0, 7
HALLWAY, 7, 7
SNEAKERS, 3, 7
TIDY, 1, 7
CLAM, 3, 7
LITERATURE, 133, 7
DELIVER, 18, 7
PILE, 25, 7
HOUR, 144, 7
PET, 8, 7
LIVER, 16, 7
BOXER, 1, 7
TIMES, 1599, 7
FORTUNE, 25, 7
PHRASE, 34, 7
PHOTO, 5, 7
COLLAR, 17, 7
PITY, 14, 7
LIP, 18, 7
DEFINITION, 44, 7
BALLOON, 10, 7
DECREASE, 15, 7
CLAW, 1, 7
THIRSTY, 5, 7
FUNGUS, 2, 7
DELICATE, 27, 7
DELICIOUS, 4, 7
FORMULA, 59, 7
SCALE, 60, 7
DEGRADE, 1, 7
MINERAL, 12, 7
LOTTERY, 1, 7
SILVERWARE, 0, 7
RID, 0, 7
NAKED, 0, 7
CAST, 43, 7
NECESSARY, 222, 7
INSECURE, 3, 7
NATIVE, 46, 7
SPONTANEOUS, 17, 7
MARBLE, 21, 7
EXPERT, 30, 7
WILLING, 69, 7
ENERGETIC, 11, 7
AIDS, 27, 7
COMMUNITY, 231, 7
WARMTH, 28, 7
SIX, 220, 7
VIRGIN, 35, 7
REVIEW, 56, 7
CARPENTER, 6, 7
NEXT, 0, 7
BROAD, 84, 7
ALUMINUM, 18, 7
ALLEY, 8, 7
BUDDY, 13, 7
ALIEN, 0, 7
GUEST, 39, 7
CART, 9, 7
NERVES, 22, 7
DUDE, 0, 7
DUE, 142, 7
JAPAN, 38, 7
ADDICTION, 3, 7
A, 9999, 7
MOOSE, 0, 7
WELCOME, 50, 7
MORALS, 7, 7
MOP, 3, 7
WHERE, 938, 7
CHALK, 3, 7
ACQUIRE, 27, 7
SHORE, 61, 7
SPIT, 11, 7
HARMFUL, 4, 7
WHISPER, 12, 7
WHISTLE, 4, 7
SICKNESS, 6, 7
SHEETS, 30, 7
COMMITTEE, 168, 7
MUCH, 937, 7
RIDICULE, 5, 7
CHARM, 26, 7
CEILING, 31, 7
SHELF, 12, 7
MASH, 1, 7
INSIGHT, 22, 7
WEIGHTS, 11, 7
SHIELD, 8, 7
SPIN, 5, 7
EXIST, 59, 7
WEEK, 275, 7
ONCE, 499, 7
SEEK, 69, 7
LUGGAGE, 10, 7
CHIP, 17, 7
GARLIC, 4, 7
UNEASY, 22, 7
ONLY, 0, 7
DIZZY, 5, 7
OFFER, 0, 7
FABLE, 2, 7
FRANCE, 74, 7
UNREAL, 0, 7
ANYTHING, 280, 7
OFFICIAL, 75, 7
RESPONSIBILITY, 118, 7
JOURNAL, 42, 7
CHOKE, 9, 7
WISDOM, 44, 7
STALK, 9, 7
HOCKEY, 1, 7
TWIN, 7, 7
WITH, 7289, 7
GRAVY, 4, 7
OPTION, 5, 7
APPEARANCE, 57, 7
OPPORTUNITY, 121, 7
WIPE, 10, 7
UNBELIEVABLE, 0, 7
ORGANIZATION, 127, 7
CANOE, 7, 7
ANALYZE, 10, 7
SENIOR, 0, 7
VANILLA, 1, 7
ANATOMY, 9, 7
IT, 0, 7
VALUABLE, 45, 7
CAREER, 67, 7
SENSITIVE, 59, 7
ACCUSE, 10, 7
HELPER, 6, 7
SERIOUS, 116, 7
HERB, 7, 7
VANISH, 5, 7
MAIN, 119, 7
NOODLES, 0, 7
CHILDHOOD, 0, 7
DOLLARS, 97, 7
ETERNITY, 6, 7
DOLL, 10, 7
GREET, 7, 7
SLICE, 13, 7
ACCOUNT, 117, 7
URGE, 21, 7
DORK, 0, 7
JOCK, 1, 7
ERROR, 80, 7
ANKLE, 8, 7
USED, 612, 7
OAK, 15, 7
SPIDER, 2, 7
BET, 20, 7
SUPER, 8, 7
STITCH, 3, 7
RANK, 24, 7
MEANINGFUL, 24, 7
PYRAMID, 2, 7
KETCHUP, 1, 7
FLIP, 4, 7
BURST, 33, 7
COUSIN, 51, 7
TAMPA, 0, 7
BUNCH, 17, 7
COUNCIL, 0, 7
ROYALTY, 7, 7
FIRM, 109, 7
POUR, 9, 7
PRACTICE, 94, 7
SYMBOL, 54, 7
BLUEBERRY, 1, 7
BORDER, 20, 7
BOOTH, 7, 7
PREJUDICE, 11, 7
PREPARE, 35, 7
PREGNANT, 0, 7
BORED, 14, 7
BLEMISH, 0, 7
LEARNING, 60, 7
SUITCASE, 25, 7
SYRUP, 4, 7
LEAP, 14, 7
PURCHASE, 47, 7
SOLVE, 20, 7
SUCKER, 0, 7
COAST, 61, 7
PRAYER, 28, 7
RAP, 2, 7
